name,price,stock_quantity,produced_at,expires_at,user_id,store_id
osLLoXttHFguUouP,3993,989,2019-12-30,2022-12-31,2,9
uBXUEnytZmVdhv,404,909,2018-06-03,2023-11-18,2,7
iAYpUogmvIjnnFQz,173,266,2018-12-09,2024-06-18,2,9
UbbGGZeCWRe,4666,987,2018-08-17,2022-10-16,2,8
"LdDnhcjPwIL ",2200,333,2019-08-16,2020-11-15,2,9
FdNmiyrodbKj,4601,570,2019-02-14,2020-07-15,2,10
kAAiISixMeixs,3589,180,2018-02-02,2022-09-10,2,9
kDEgTCtaVz vqNJ wxMJE,4008,253,2019-05-02,2021-10-20,2,9
bnFjLCxmjp,3823,257,2018-02-06,2021-02-07,2,8
zebayuehsdpTlginncRyik,1499,276,2018-09-21,2024-10-14,2,8
"vWTNnDglkDWuQnKzt ",1387,930,2019-04-04,2023-10-14,2,9
KsH  NSssByyjHevwJjR,2293,790,2018-10-27,2022-06-16,2,6
UafcOqSBvOaibhHYfmRal HhJ,356,870,2019-11-04,2022-07-26,2,6
lxGjmhvnlbEKyaRo,879,919,2018-08-14,2021-09-23,2,10
mUxYgIeYdNUfRtwZrnOxUeW,292,496,2019-10-02,2024-08-03,2,8
oTcJeKOvDUTCWAPXUMkNEqrfQ,2764,501,2018-11-14,2022-08-24,2,10
MjZPaglyMjqAY,2886,696,2018-07-20,2020-12-07,2,8
YmENwRYGDwon,4160,607,2019-03-13,2020-06-30,2,8
EfPpdVlNfYXJYiU,1429,695,2018-07-29,2023-11-13,2,9
"jeBSkkzYUqH ",1540,788,2018-11-21,2023-10-16,2,10
JwJIYeUamCqsaZelFAGQPLT,4576,669,2018-01-16,2024-10-14,2,10
rsMfMWAWYIyo,312,75,2018-03-04,2024-04-30,2,6
BDwgk  gzVUvFMZYrNG,1887,497,2019-06-01,2024-07-19,2,7
nUMKwiTorFe,1718,692,2018-08-13,2021-11-30,2,7
WFzssrNXPzy,4527,634,2018-03-10,2022-08-28,2,7
PpZKq CdNRHACiWP,3033,115,2019-04-24,2022-12-03,2,9
SRjavmdjpVJFwxA,1604,515,2019-08-08,2023-04-19,2,10
CNUszM RBjkZXKgmT,1190,839,2019-10-31,2021-11-14,2,7
VVLVNbevGBWW,3432,242,2018-03-25,2024-10-08,2,9
